"Country","Domestic_general_government_health_expenditure","Current_health_expenditure","Out_of_pocket_health_expenditure","UHC_service_coverage_index","GovernmentHealthExp.P.C","clustAG"
"Lao PDR",35.147300362587,2.52808686345816,46.1833655834198,51,22,1
"Latvia",57.1428596973419,5.95566183328629,41.9875770807266,71,532,2
"Lebanon",50.0214636325836,8.19554403424263,33.2187473773956,73,360,2
"Lesotho",62.9203021526337,8.76315832138062,16.6426405310631,48,66,2
"Liberia",17.2045513987541,8.15533772110939,45.5063581466675,39,10,1
"Lithuania",65.4578804969788,6.45756423473358,32.2738111019135,73,885,2
"Luxembourg",84.8564803600311,5.4810743778944,10.6895416975021,83,5230,3
"Madagascar",46.8804866075516,5.50203807651997,24.6854111552238,28,12,1
"Malawi",30.6460410356522,9.64823141694069,10.5903871357441,46,10,2
"Malaysia",50.58873295784,3.85939814150333,37.9471957683563,73,194,2
"Maldives",71.4557826519012,9.02997627854347,20.6469982862473,62,720,2
"Mali",34.9335610866547,3.79398502409458,35.1130127906799,38,11,1
"Malta",63.0681812763214,9.34099927544594,34.7537875175476,82,1631,3
"Mauritania",38.8010203838348,4.40315157175064,49.545481801033,41,19,1
"Mauritius",42.8672343492508,5.71872070431709,48.8656491041183,63,257,1
"Mexico",51.5124559402466,5.51654137670994,41.2832766771317,76,255,2
"Micronesia",25.8091598749161,12.3515494167805,2.40353066474199,47,110,2
"Moldova",50.6165027618408,7.0129506289959,43.6354845762253,69,97,2
"Mongolia",61.6883099079132,4.00230102241039,32.1524679660797,62,92,2
"Morocco",42.9053366184235,5.24520017206669,53.9362132549286,70,69,1
"Mozambique",29.8636168241501,4.94119822978973,7.39533454179764,46,6,2
"Namibia",46.1430639028549,8.55095684528351,7.73419514298439,62,206,2
"Nepal",22.3403111100197,5.55329509079456,57.7985525131226,48,11,1
"Netherlands",64.3979668617249,10.1008348166943,11.0869333148003,86,4334,3
"New Zealand",75.4573822021484,9.1700553894043,13.5770738124847,87,2971,3
"Nicaragua",58.0851316452026,8.64546522498131,32.5990498065948,73,112,2
"Niger",33.4261268377304,7.73996263742447,47.8285133838654,37,10,1
"Nigeria",14.1832575201988,3.75553853809834,77.2248029708862,42,10,1
"North Macedonia",67.3533260822296,6.06211498379707,31.9056153297424,72,221,2
"Norway",85.4730546474457,10.4463420808315,14.1772866249084,87,6783,3
"Oman",87.7427697181702,3.849071636796,6.69259130954742,69,516,2
"Pakistan",31.5850645303726,2.89863366633654,60.2368772029877,45,14,1
"Panama",59.9185585975647,7.31949135661125,33.2700669765472,79,666,2
"Papua New Guinea",75.4125416278839,2.46927607804537,8.99854451417923,40,46,2
"Paraguay",45.4697281122208,6.65456876158714,44.1762536764145,69,173,2
"Peru",63.351708650589,4.99515049159527,28.1882584095001,77,211,2
"Philippines",31.9104731082916,4.44640778005123,53.045779466629,61,42,1
"Poland",68.9672648906708,6.5419539809227,23.0497926473618,75,625,2
"Portugal",66.2546098232269,8.96957442164421,27.5320798158646,82,1354,3
"Qatar",80.7372570037842,2.60742865502834,8.902657777071,68,1332,2
"Romania",78.587794303894,5.15788830816746,20.4880461096764,74,436,2
"Russia",57.0887506008148,5.34457787871361,40.4930830001831,74,334,2
"Rwanda",34.3314200639725,6.57159835100174,6.24799951910973,57,17,2
"Samoa",74.5463490486145,5.48278577625752,11.8570581078529,58,174,2
"Sao Tome and Principe",45.6029891967773,6.22999146580696,13.7765601277351,55,55,2
"Saudi Arabia",64.0870332717896,5.23025318980217,16.8597862124443,74,778,2
"Senegal",20.978632569313,4.13406379520893,52.3998200893402,45,12,1
"Serbia",56.7148864269257,8.43395814299583,41.7523622512817,65,300,2
"Seychelles",73.0444431304932,5.0067350268364,24.599426984787,71,578,2
"Sierra Leone",13.7371480464935,13.4209275245667,50.4125535488129,39,9,1
"Singapore",48.2043623924255,4.44038286805153,32.1252405643463,86,1262,2
"Slovakia",79.1036665439606,6.74253478646278,18.7131851911545,77,1089,2
"Slovenia",71.8181788921356,8.18701758980751,12.3281687498093,79,1530,3
"Solomon Islands",71.1639404296875,4.68491911888123,5.39916232228279,47,72,2
"South Africa",53.6510050296783,8.11311826109886,7.7669233083725,69,268,2
"South Korea",57.377427816391,7.60386362671852,33.6690425872803,86,1310,2
"South Sudan",8.44199508428574,9.76099446415901,19.1928148269653,31,2,1
"Spain",70.616203546524,8.87312963604927,23.5657900571823,83,1892,3
"Sri Lanka",42.9490357637405,3.81142050027847,49.7577965259552,66,68,1
"St. Lucia",48.9512234926224,4.54588681459427,44.753098487854,68,225,2
"St. Vincent and the Grenadines",64.34006690979,4.48712520301342,31.1874210834503,71,206,2
"Sudan",18.0079370737076,6.34180754423141,72.4796652793884,44,35,1
"Suriname",58.5600435733795,6.2297698110342,26.3795912265778,71,199,2
"Sweden",83.6949229240417,11.0187463462353,15.0326043367386,86,4942,3
"Switzerland",30.492827296257,12.3463220894337,28.9469867944717,83,3036,3
"Tajikistan",29.003918170929,7.22881481051445,63.152414560318,68,17,1
"Tanzania",43.2494908571243,3.6454513669014,24.0961372852325,43,15,1
"Thailand",76.1276185512543,3.74601632356644,11.1465625464916,80,188,2
"Timor-Leste",65.9895420074463,3.88229340314865,8.34491550922394,52,55,2
"Togo",17.6572009921074,6.19951225817204,58.4201276302338,43,7,1
"Tonga",58.3417654037476,5.26931136846542,10.6305524706841,58,130,2
"Trinidad and Tobago",53.1997859477997,6.97873532772064,39.7774338722229,74,598,2
"Tunisia",57.1216464042664,7.23245739936829,39.1201615333557,70,143,2
"Turkey",77.7102708816528,4.21630293130875,17.3842012882233,74,346,2
"Turkmenistan",22.2915276885033,6.93044811487198,72.758024930954,70,102,1
"Uganda",15.6988218426704,6.18775598704815,39.0714079141617,45,6,1
"Ukraine",44.0236210823059,6.99532032012939,52.3169219493866,68,78,1
"United Arab Emirates",71.9738960266113,3.33428233861923,18.8674405217171,76,977,2
"United Kingdom",79.4117748737335,9.63169410824776,15.9568220376968,87,3064,3
"United States",50.1581370830536,17.0612692832947,10.9929218888283,84,9386,3
"Uruguay",70.8348155021667,9.29621160030365,17.5494343042374,80,1127,3
"Uzbekistan",43.2995527982712,6.41438513994217,53.431361913681,73,43,1
"Vanuatu",61.4978909492493,3.31685319542885,8.96036028862,48,65,2
"Venezuela",15.9386962652206,1.18121011182666,62.9878759384155,74,15,1
"Vietnam",48.6228704452515,5.53212836384773,45.2579379081726,75,63,2
"Zambia",38.6330097913742,4.47034128010273,11.8491314351559,53,26,2
"Zimbabwe",51.6157925128937,6.63591623306274,20.6223398447037,54,57,2
